f0,log_threshold,threshold,weber_fraction
250.0,-10.265677699523343,3.4807499221691364e-05,2.4127010999519527e-05
287.1745887492586,-10.280630460359273,3.4290902906340825e-05,2.376892514477369e-05
329.87697769322324,-10.412823276381328,3.0044730311192904e-05,2.0825636956489646e-05
378.9291416275989,-10.630318655534527,2.417192661223788e-05,1.6754843140898146e-05
435.2752816480612,-10.990722484388076,1.685737208492566e-05,1.1684708197901017e-05
499.9999999999988,-10.854689194122834,1.9313828923076412e-05,1.338741567447066e-05
574.3491774985158,-10.913085877129765,1.8218265338209887e-05,1.2628018986715617e-05
659.7539553864449,-11.143650883202508,1.4466847824081133e-05,1.0027705057868985e-05
757.858283255196,-10.952744877067321,1.750988679119783e-05,1.2137002314061007e-05
870.5505632961202,-11.205189821922522,1.3603413257125635e-05,9.429211999867348e-06
999.999999999995,-11.448492336717058,1.06655425351385e-05,7.392818064166917e-06
1148.698354997029,-11.033108132869069,1.615779224238064e-05,1.1199790854066194e-05
1319.5079107728864,-11.603475562081066,9.13428572622264e-06,6.331424440952915e-06
1515.7165665103882,-11.567274133839877,9.471018240031142e-06,6.5648311384780555e-06
1741.101126592236,-11.691037051588875,8.368490371241602e-06,5.800612329798227e-06
1999.9999999999848,-11.60836281607635,9.089753061673921e-06,6.300556555149939e-06
2297.396709994052,-11.674624057384074,8.506975726045585e-06,5.896603624488961e-06
2639.0158215457664,-11.686168620253962,8.409331126531282e-06,5.828921148864907e-06
3031.433133020769,-11.322070535859478,1.2102838623889703e-05,8.3890836570788e-06
3482.202253184464,-11.107571544844664,1.4998332272978325e-05,1.0396105767140895e-05
3999.99999999996,-10.87131605909737,1.8995355442083383e-05,1.3166663748176433e-05
4594.793419988092,-8.692509589653689,0.00016783829201222103,0.00011634340626742734
5278.03164309152,-6.522864089029152,0.0014694544213372607,0.0010190670854768324
6062.866266041523,-6.425024398931262,0.0016204937391316049,0.0011238717374508767
6964.404506368911,-5.993293110948745,0.002495432767408878,0.0017311989847146325
7999.999999999901,-4.892089163274022,0.007505725397977804,0.005216129277461734
9189.586839976162,-4.0532421134777,0.017365980790887293,0.012109919043711281
