f0,log_threshold,threshold,weber_fraction
250.0,-9.9336274506207,4.851548897866329e-05,3.3628939839269734e-05
287.1745887492586,-10.255165884393936,3.5175319058742745e-05,2.4381970466169633e-05
329.87697769322324,-10.704905230909294,2.243462057412101e-05,1.5550614907544613e-05
378.9291416275989,-10.6460759889112,2.379402667305897e-05,1.6492898508913e-05
435.2752816480612,-10.595726591013957,2.5022713864199824e-05,1.7344573980393463e-05
499.9999999999988,-10.959961414869118,1.738398088006213e-05,1.2049729931407072e-05
574.3491774985158,-11.034731836448485,1.6131578065067285e-05,1.1181620367617384e-05
659.7539553864449,-11.259637176611237,1.2882546121143286e-05,8.929540390445467e-06
757.858283255196,-11.22070077813828,1.3394039302582653e-05,9.284083675842325e-06
870.5505632961202,-11.295342320060994,1.2430687800520248e-05,8.616333321720404e-06
999.999999999995,-11.36426009977237,1.1602846526120848e-05,8.042512696926352e-06
1148.698354997029,-11.342728900958656,1.1855378624969325e-05,8.217556032308337e-06
1319.5079107728864,-11.649701528848357,8.721655136280827e-06,6.0454089410022505e-06
1515.7165665103882,-11.768641603160555,7.743617493246279e-06,5.3674810376325155e-06
1741.101126592236,-11.714035223062776,8.178226639719502e-06,5.668730804542221e-06
1999.9999999999848,-11.521959787406171,9.910063644366973e-06,6.86915626690876e-06
2297.396709994052,-11.993920140093879,6.1816820936344e-06,4.284824694167355e-06
2639.0158215457664,-11.592868608869727,9.23168832674469e-06,6.398939208507315e-06
3031.433133020769,-11.687773185837484,8.395848622898571e-06,5.819575735088733e-06
3482.202253184464,-11.170944657864172,1.4077332787792985e-05,9.757711137758918e-06
3999.99999999996,-10.595500300646126,2.5028376904045797e-05,1.73484993684081e-05
4594.793419988092,-7.939559879508647,0.00035636328658202596,0.00024704271737685524
5278.03164309152,-6.047046273084613,0.0023648367826827024,0.0016405241382084768
6062.866266041523,-6.19943109861661,0.0020305855106658834,0.0014084856070397667
6964.404506368911,-6.218112241557832,0.00199300397841791,0.0013823997232926821
7999.999999999901,-5.21187283437796,0.0054514544498542915,0.0037858084192554653
9189.586839976162,-3.978282406797331,0.018717761243133,0.013058693061945181
