f0,log_threshold,threshold,weber_fraction
250.0,-10.39051351983676,3.072255385508117e-05,2.1295478329630413e-05
287.1745887492586,-10.025361751037527,4.426298642491745e-05,3.068123490312935e-05
329.87697769322324,-10.711901806267687,2.2278202892764925e-05,1.5442192752512796e-05
378.9291416275989,-10.695773746846912,2.264042015209161e-05,1.5693266533167716e-05
435.2752816480612,-10.584836739549688,2.5296696609510747e-05,1.7534487659620623e-05
499.9999999999988,-10.685654000406625,2.287069867826216e-05,1.5852885961953334e-05
574.3491774985158,-11.0048385436602,1.662108407280581e-05,1.1520923928198812e-05
659.7539553864449,-11.159973538747703,1.4232627201736348e-05,9.865354079208188e-06
757.858283255196,-11.148453376138548,1.4397537454094467e-05,9.979662289882896e-06
870.5505632961202,-11.401040276195783,1.1183844501843386e-05,7.752080331435707e-06
999.999999999995,-11.379200198398227,1.1430787345625685e-05,7.923249409014232e-06
1148.698354997029,-11.430756030892072,1.0856397386155295e-05,7.525109552819487e-06
1319.5079107728864,-11.719942638841784,8.130056874124256e-06,5.63534187847381e-06
1515.7165665103882,-11.885188234557393,6.891731249916357e-06,4.776995494948366e-06
1741.101126592236,-11.795349390289793,7.5395399658702895e-06,5.226024525573081e-06
1999.9999999999848,-11.720246768819134,8.127584656068144e-06,5.63362825789504e-06
2297.396709994052,-11.756810258510033,7.835779022994437e-06,5.431362886998414e-06
2639.0158215457664,-11.609239669426572,9.081786174655344e-06,6.2950342949452676e-06
3031.433133020769,-11.812113221269229,7.414201900548728e-06,5.13914634892032e-06
3482.202253184464,-11.048561132792479,1.591002518271954e-05,1.1028049906602888e-05
3999.99999999996,-9.883383358645872,5.1015382215562475e-05,3.536179356133928e-05
4594.793419988092,-7.859836726426469,0.00038593687952160493,0.00026754684418883734
5278.03164309152,-6.678205651976745,0.0012580332980994238,0.0008723825381100614
6062.866266041523,-6.128481565419637,0.002179888466993294,0.0015121256556323015
6964.404506368911,-6.185948227294478,0.002058149033975627,0.001427618278210474
7999.999999999901,-4.739018411300785,0.00874722815310754,0.006081534427548885
9189.586839976162,-4.044322572452249,0.01752157023066096,0.012219077322221272
