f0,log_threshold,threshold,weber_fraction
250.0,-10.209156329934013,3.6831528387336144e-05,2.552999594218619e-05
287.1745887492586,-10.341361124664518,3.227036875900898e-05,2.2368365289127112e-05
329.87697769322324,-10.51495762647807,2.7127634497772512e-05,1.8803620153162726e-05
378.9291416275989,-10.669316659264675,2.3247413968819035e-05,1.6114009277146124e-05
435.2752816480612,-10.847831932049326,1.9446724037208216e-05,1.3479532785520831e-05
499.9999999999988,-10.695576082733055,2.2644895793000553e-05,1.5696368859785537e-05
574.3491774985158,-11.038028367926735,1.607848736584111e-05,1.1144820288411239e-05
659.7539553864449,-10.835773451005705,1.968264153504549e-05,1.3643060551737918e-05
757.858283255196,-11.164097358878463,1.4174055260249586e-05,9.824754703346983e-06
870.5505632961202,-11.375138349792085,1.147731189714913e-05,7.955498026790409e-06
999.999999999995,-11.409891246343784,1.1085293407784324e-05,7.68376939119797e-06
1148.698354997029,-11.556207234068415,9.57641518261062e-06,6.63788721433356e-06
1319.5079107728864,-11.806684088584628,7.454564053016709e-06,5.167123405147578e-06
1515.7165665103882,-11.541344811945933,9.719806841666325e-06,6.73727940325719e-06
1741.101126592236,-11.609424675050738,9.08010614854749e-06,6.2938697824588274e-06
1999.9999999999848,-11.663236298224794,8.604404813388532e-06,5.964136722269586e-06
2297.396709994052,-11.653536861466899,8.688268752717438e-06,6.022267123650948e-06
2639.0158215457664,-11.832545019476068,7.264253497605598e-06,5.035209507342486e-06
3031.433133020769,-11.171766719739692,1.4065765104526282e-05,9.74969295253203e-06
3482.202253184464,-11.288170075732271,1.2520164220408833e-05,8.678354186164583e-06
3999.99999999996,-9.830344039460691,5.379424646954012e-05,3.728802545177601e-05
4594.793419988092,-8.463470432354772,0.0002110384038346469,0.00014629137414745585
5278.03164309152,-6.086998907740146,0.0022722178279518303,0.0015762223156357003
6062.866266041523,-6.34363264875924,0.0017579047734067154,0.0012192293939528032
6964.404506368911,-5.867960006935712,0.0028286378538291902,0.00196258570844976
7999.999999999901,-4.965395010401377,0.0069751948903141745,0.004846543353927979
9189.586839976162,-3.921487954697923,0.0198115940475266,0.013827072370095728
