f0,log_threshold,threshold,weber_fraction
250.0,-10.26828088936919,3.4717006529090046e-05,2.4064284733338326e-05
287.1745887492586,-10.664532261774406,2.335890533469828e-05,1.6191290451272877e-05
329.87697769322324,-10.67606567485755,2.309104507105362e-05,1.6005620875780835e-05
378.9291416275989,-10.595054949887386,2.503952579308888e-05,1.735622732357278e-05
435.2752816480612,-10.781080620866682,2.0789123412863954e-05,1.4410026103472973e-05
499.9999999999988,-11.077052489424752,1.5463123627894045e-05,1.0718277985599656e-05
574.3491774985158,-10.882441703358865,1.878519114923301e-05,1.3020987053691258e-05
659.7539553864449,-11.019789968650272,1.6374423737745266e-05,1.1349950057359948e-05
757.858283255196,-11.006944283294814,1.6586121221553452e-05,1.1496689247492142e-05
870.5505632961202,-10.791260972150498,2.0578556474922344e-05,1.4264070131497775e-05
999.999999999995,-10.821004808690198,1.997548455187123e-05,1.3846046652998822e-05
1148.698354997029,-10.733277940585237,2.1807034852159055e-05,1.5115598963610921e-05
1319.5079107728864,-10.799416543190109,2.0411409113249315e-05,1.4148210763176294e-05
1515.7165665103882,-9.588610189309145,6.850456385403404e-05,4.74848726617072e-05
1741.101126592236,-9.027108465248894,0.00012010929173131243,8.325688258459252e-05
1999.9999999999848,-6.5581032723855115,0.0014185738083615585,0.0009837640143743887
2297.396709994052,-6.233293803034371,0.00196297558171458,0.0013615570682883327
2639.0158215457664,-6.206665376929323,0.002015948697169666,0.001398325902827402
3031.433133020769,-6.497264332684882,0.0015075577333476537,0.0010455055526890078
3482.202253184464,-6.141749474220418,0.002151156930802479,0.0014921805566747715
3999.99999999996,-6.280889844712238,0.001871734300091213,0.0012982293239187648
4594.793419988092,-6.395697586528042,0.0016687213799942303,0.001157338719861567
5278.03164309152,-6.401447159971624,0.0016591544730350705,0.0011506997926575835
6062.866266041523,-6.435828853035304,0.0016030794343360878,0.0011117875682207234
6964.404506368911,-6.197091969864314,0.0020353408711498403,0.001411786419792449
7999.999999999901,-4.798119429640767,0.00824523822894586,0.00573152633609908
9189.586839976162,-4.144599728288653,0.015849778899909718,0.011046799786502914
